Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00052878,0.75681,0.0031798,0,0,0,12.635,0.76201,-0.00013569,-7.06E-07,0.16068,-0.0042144,0.85624,0,0,0,0,0,0,package://final_urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://final_urdf/meshes/base_link.STL,,UpperBody-2;mobile robot Assem2-1/Part1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Right_Wheel,0.015,1.4476E-07,-1.2367E-07,0,0,0,0.19218,0.00045585,6.3221E-10,1.0791E-10,0.00023865,2.1634E-09,0.00023863,0,0,0,0,0,0,package://final_urdf/meshes/Right_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Right_Wheel.STL,,Scooter Wheel 125mm.step-2,Origin_RW-joint,Axis_RW-joint,RW-joint,continuous,0.21499,-0.0049783,0.34548,1.4696,0,0,base_link,1,0,0,,,,,,,,,,,,
Left_Wheel,-0.015,1.3775E-07,-1.3149E-07,0,0,0,0.19218,0.00045585,6.3461E-10,1.6632E-10,0.00023865,2.268E-09,0.00023863,0,0,0,0,0,0,package://final_urdf/meshes/Left_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Left_Wheel.STL,,Scooter Wheel 125mm.step-1,Origin_LW_joint,Axis_LW_joint,LW_joint,continuous,-0.21501,-0.0049783,0.34548,1.0186,0,0,base_link,1,0,0,,,,,,,,,,,,
Shoulder_1,0.0021043,-0.0053417,0.042865,0,0,0,0.23976,0.00031975,-6.3118E-06,4.2341E-07,0.00021027,-1.56E-05,0.00015938,0,0,0,0,0,0,package://final_urdf/meshes/Shoulder_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Shoulder_1.STL,,LeftUpperShoulder-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.14336,-1.3922E-05,1.813,3.14,0.068756,-3.1404,base_link,0.0012447,-1,-0.0016613,,,,,,,,,,,,
Shoulder_2,-0.052482,-0.0015087,-0.024315,0,0,0,0.37576,0.00031864,1.2106E-05,-7.1449E-06,0.00029105,6.9415E-06,0.00035226,0,0,0,0,0,0,package://final_urdf/meshes/Shoulder_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Shoulder_2.STL,,LeftShoulder-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,-0.0032513,-0.008665,0.039394,-3.1,0,0,Shoulder_1,1,0,0,,,,,,,,,,,,
Bicep,0.00017017,-0.0050241,-0.065777,0,0,0,0.50084,0.00056295,-1.8363E-07,-9.6838E-08,0.00038313,-5.4328E-05,0.0004318,0,0,0,0,0,0,package://final_urdf/meshes/Bicep.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Bicep.STL,,LeftBicep-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,-0.076136,0.00021766,-0.05947,0,0,-0.035558,Shoulder_2,0,0,1,,,,,,,,,,,,
Forearm,0.0042594,0.064204,-0.14459,0,0,0,0.18916,0.00014707,3.1597E-05,2.0138E-05,0.00016189,1.4117E-06,0.00015162,0,0,0,0,0,0,package://final_urdf/meshes/Forearm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Forearm.STL,,LeftForearm-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,-0.028632,-0.22301,-0.56625,-0.00052127,-0.0057192,Bicep,0.99998,0.0051061,0.0026283,,,,,,,,,,,,
Wrist,0.0017578,0.032589,-0.069263,0,0,0,0.090105,8.6338E-05,2.6375E-05,2.207E-06,7.845E-05,2.0217E-05,6.946E-05,0,0,0,0,0,0,package://final_urdf/meshes/Wrist.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Wrist.STL,,LeftHand-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0.0085293,0.11472,-0.2579,-0.79284,0.33832,-2.3836,Forearm,0.0053208,0.44451,-0.89576,,,,,,,,,,,,
Thumb,0.0038181,0.03909,-0.034823,0,0,0,0.024467,3.8118E-06,-9.3021E-08,9.6671E-08,2.6549E-06,7.8912E-07,2.591E-06,0,0,0,0,0,0,package://final_urdf/meshes/Thumb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Thumb.STL,,LeftThumb1-1;LeftThumb2-1;LeftThumb3-1,Origin_F_joint_1,Axis_F_joint_1,F_joint_1,continuous,-0.021269,0.037586,-0.034953,-2.0259,0.28567,-2.5031,Wrist,0.0045381,0.99999,0.0027875,,,,,,,,,,,,
Index,0.015147,-0.0010598,0.039524,0,0,0,0.011956,1.2132E-06,-1.6769E-11,-4.7789E-09,1.259E-06,1.108E-08,4.1574E-07,0,0,0,0,0,0,package://final_urdf/meshes/Index.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Index.STL,,LeftIndexfinger1-1;LeftIndexfinger2-1;LeftIndexfinger3-1,Origin_F_joint_2,Axis_F_joint_2,F_joint_2,continuous,-0.013666,0.069894,-0.10903,2.7714,-0.38776,2.5136,Wrist,1,0,0,,,,,,,,,,,,
Middle,0.0065868,0.0014489,-0.04217,0,0,0,0.01491,1.7211E-06,-1.66E-10,-5.6928E-09,1.7848E-06,5.9171E-09,5.9104E-07,0,0,0,0,0,0,package://final_urdf/meshes/Middle.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Middle.STL,,LeftMiddlefinger1-1;LeftMiddlefinger2-1;LeftMiddlefinger3-1,Origin_F_joint_3,Axis_F_joint_3,F_joint_3,continuous,0.0006875,0.059807,-0.11727,-0.38367,-0.30196,2.4732,Wrist,1,0,0,,,,,,,,,,,,
Ring,0.020543,0.00096305,0.034354,0,0,0,0.0075882,5.6309E-07,6.3399E-11,-2.8681E-09,5.8362E-07,-3.061E-11,1.9465E-07,0,0,0,0,0,0,package://final_urdf/meshes/Ring.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Ring.STL,,LeftRingfinger1-1;LeftRingfinger2-1;LeftRingfinger3-1,Origin_F_joint_4,Axis_F_joint_4,F_joint_4,continuous,0.0035924,0.054749,-0.11154,-2.8571,0.21954,-0.70758,Wrist,1,0,0,,,,,,,,,,,,
Pinkie,-0.035936,-0.00030219,0.037561,0,0,0,0.010545,9.6496E-07,3.379E-10,2.9305E-09,1.0011E-06,-8.1258E-10,3.3116E-07,0,0,0,0,0,0,package://final_urdf/meshes/Pinkie.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_urdf/meshes/Pinkie.STL,,LeftPinkie1-1;LeftPinkie2-1;LeftPinkie3-1,Origin_F_joint_5,Axis_F_joint_5,F_joint_5,continuous,0.0099182,0.045235,-0.1101,2.8446,-0.063551,2.3844,Wrist,1,0,0,,,,,,,,,,,,
